CVE_ID,type_info,delta_t,Published_date,Severity
CVE-2021-3921,github,3.0,2021-11-13T09:15Z,MEDIUM
CVE-2017-6183,twitter,32.0,2017-03-30T17:59Z,HIGH
CVE-2020-9701,twitter,7.0,2020-08-19T13:15Z,HIGH
CVE-2018-17113,github,3.0,2018-09-17T04:29Z,MEDIUM
CVE-2017-11241,twitter,2.0,2017-08-11T19:29Z,HIGH
CVE-2020-6282,twitter,62.0,2020-07-14T13:15Z,MEDIUM
CVE-2021-3977,github,14.0,2021-12-24T20:15Z,MEDIUM
CVE-2016-4313,twitter,345.0,2017-04-24T18:59Z,HIGH
CVE-2017-14684,github,0.0,2017-09-22T01:29Z,MEDIUM
CVE-2020-3989,twitter,1.0,2020-09-16T17:15Z,LOW
CVE-2019-4135,twitter,3.0,2019-06-25T16:15Z,HIGH
CVE-2019-6273,twitter,2.0,2019-03-21T16:01Z,MEDIUM
CVE-2019-18656,github,1.0,2019-10-31T17:15Z,MEDIUM
CVE-2021-46349,github,16.0,2022-01-20T22:15Z,MEDIUM
CVE-2019-8659,twitter,149.0,2019-12-18T18:15Z,HIGH
CVE-2021-22991,twitter,21.0,2021-03-31T18:15Z,CRITICAL
CVE-2021-22921,twitter,11.0,2021-07-12T11:15Z,HIGH
CVE-2021-23346,github,5.0,2021-03-04T17:15Z,MEDIUM
CVE-2020-8708,twitter,85.0,2020-08-13T03:15Z,HIGH
CVE-2021-45890,github,126.0,2021-12-27T20:15Z,CRITICAL
CVE-2019-8691,twitter,148.0,2019-12-18T18:15Z,MEDIUM
CVE-2019-10087,twitter,3.0,2019-09-23T15:15Z,MEDIUM
CVE-2017-6981,twitter,7.0,2017-05-22T05:29Z,HIGH
CVE-2018-1000844,github,246.0,2018-12-20T15:29Z,CRITICAL
CVE-2019-17212,github,1.0,2019-11-05T15:15Z,CRITICAL
CVE-2021-31702,twitter,11.0,2021-05-29T14:15Z,HIGH
CVE-2019-11564,twitter,8.0,2019-05-08T16:29Z,MEDIUM
CVE-2017-9060,twitter,13.0,2017-06-01T16:29Z,MEDIUM
CVE-2019-4722,twitter,1.0,2021-06-01T14:15Z,MEDIUM
CVE-2020-27152,twitter,7.0,2020-11-06T08:15Z,MEDIUM
CVE-2019-19217,twitter,1.0,2020-04-30T14:15Z,HIGH
CVE-2017-6363,github,1104.0,2020-02-27T05:15Z,HIGH
CVE-2020-4609,twitter,519.0,2021-06-25T18:15Z,HIGH
CVE-2019-11719,twitter,14.0,2019-07-23T14:15Z,HIGH
CVE-2019-4227,twitter,1.0,2019-10-04T14:15Z,HIGH
CVE-2019-13584,twitter,2.0,2019-07-17T19:15Z,MEDIUM
CVE-2020-15615,twitter,175.0,2020-07-28T17:15Z,CRITICAL
CVE-2021-23562,github,18.0,2021-12-03T20:15Z,HIGH
CVE-2017-5595,github,12.0,2017-02-06T17:59Z,MEDIUM
CVE-2021-30689,twitter,107.0,2021-09-08T15:15Z,MEDIUM
CVE-2017-15095,github,224.0,2018-02-06T15:29Z,CRITICAL
CVE-2016-0824,twitter,4.0,2016-03-12T21:59Z,MEDIUM
CVE-2016-4924,twitter,366.0,2017-10-13T17:29Z,MEDIUM
CVE-2017-5869,twitter,1.0,2017-03-24T14:59Z,HIGH
CVE-2017-8688,twitter,1.0,2017-09-13T01:29Z,MEDIUM
CVE-2016-2365,twitter,185.0,2017-01-06T21:59Z,MEDIUM
CVE-2020-6579,twitter,1.0,2020-04-30T14:15Z,MEDIUM
CVE-2020-1920,github,32.0,2021-06-01T14:15Z,HIGH
CVE-2017-5644,twitter,4.0,2017-03-24T14:59Z,MEDIUM
CVE-2017-6356,twitter,4.0,2017-03-20T16:59Z,MEDIUM
CVE-2018-20818,twitter,1.0,2019-04-22T11:29Z,CRITICAL
CVE-2020-14031,twitter,201.0,2020-09-22T18:15Z,HIGH
CVE-2020-1133,twitter,2.0,2020-09-11T17:15Z,HIGH
CVE-2016-6751,twitter,16.0,2016-11-25T16:59Z,MEDIUM
CVE-2020-1592,twitter,2.0,2020-09-11T17:15Z,LOW
CVE-2019-6225,twitter,42.0,2019-03-05T16:29Z,HIGH
CVE-2020-14362,redhat,29.0,2020-09-15T19:15Z,HIGH
CVE-2019-6976,github,8.0,2019-01-26T23:29Z,MEDIUM
CVE-2018-12365,twitter,105.0,2018-10-18T13:29Z,MEDIUM
CVE-2019-17519,twitter,2.0,2020-02-12T19:15Z,HIGH
CVE-2017-11505,github,27.0,2017-07-21T16:29Z,MEDIUM
CVE-2021-25001,twitter,364.0,2022-01-03T13:15Z,MEDIUM
CVE-2019-19010,github,6.0,2019-11-16T01:15Z,CRITICAL
CVE-2021-28588,twitter,18.0,2021-06-28T15:15Z,HIGH
